"State","Year","Population","Aggravated.assault","Burglary","Larceny.theft","Legacy.rape","Motor.vehicle.theft","Murder","Robbery"
"Kansas",1986,2461000,251.930109711499,1187.68793173507,3008.08614384397,32.9134498171475,257.984559122308,4.38845997561967,79.561154002438
"Kansas",1996,2572000,268.273716951789,981.298600311042,3038.29704510109,42.6127527216174,248.367029548989,6.60964230171073,96.2674961119751
"Kansas",2006,2764075,313.956748641046,726.680715971889,2729.66543961361,46.2722610638279,315.620958186735,4.52230854806762,67.9431636261679
"Kansas",2016,2907289,274.000967912031,494.068529134874,1962.85955747777,33.3988124331637,238.607169772252,3.81798988679832,57.4762261336936
"Kentucky",1966,3183000,73.5469682689287,482.563619227144,896.387056236255,8.32547910775997,227.741124725102,7.00596921143575,42.7898209236569
"Kentucky",1976,3428000,135.12252042007,930.163360560093,1857.73045507585,17.8238039673279,246.791131855309,10.5600933488915,98.6581096849475
"Kentucky",1986,3728000,222.18347639485,824.168454935622,1740.39699570815,23.068669527897,193.213519313305,6.65236051502146,82.5107296137339
"Kentucky",1996,3884000,189.160659114315,688.362512873326,1896.31822863028,31.6683831101957,261.122554067971,5.870236869207,93.7950566426365
"Kentucky",2006,4206074,143.268996218326,662.541838303368,1716.49381347071,31.1929842413614,222.630414966546,4.11309929402098,91.5342906472877
"Kentucky",2016,4436974,113.545853547936,469.554250261552,1497.37185748666,26.4594744075579,222.809509363814,5.85984952807927,75.9301271542272
"Louisiana",1966,3603000,147.932278656675,578.545656397447,1073.6885928393,16.5695253955037,264.751595892312,9.85290036081044,66.8054399111851
"Louisiana",1976,3841000,308.539442853424,1140.58838844051,2447.04504035407,26.7638635771934,300.59880239521,13.1736526946108,124.342619109607
"Louisiana",1986,4501000,481.581870695401,1460.80870917574,3417.41835147745,40.1244167962675,441.568540324372,12.7749389024661,223.750277716063
"Louisiana",1996,4351000,593.495748103884,1295.77108710641,3982.32590209147,41.4847161572052,631.578947368421,17.5132153527925,276.626062974029
"Louisiana",2006,4287768,532.981262045894,1089.21471497525,2626.19152901929,37.0122637232238,365.388239289066,12.9437973323184,138.253748803573
"Louisiana",2016,4681666,396.354631022375,740.484263507905,2336.34778730478,28.3659705754319,220.84018808689,11.8333943514979,119.102900548651
"Maine",1966,983000,36.4191251271617,363.987792472024,907.121057985758,4.88301119023398,106.612410986775,2.23804679552391,5.90030518819939
"Maine",1976,1070000,169.439252336449,1313.17757009346,2337.47663551402,9.90654205607477,213.738317757009,2.71028037383178,37.9439252336449
"Maine",1986,1174000,102.299829642249,803.492333901193,2346.50766609881,14.8211243611584,164.224872231687,1.95911413969336,27.93867120954
"Maine",1996,1243000,78.5197103781175,748.431214802896,2377.87610619469,20.9171359613837,142.880128720837,2.01126307320998,23.4915526950925
"Maine",2006,1321574,59.4745356673179,518.018665621448,1926.86902133365,25.802565728442,101.923917994755,1.74034900807673,28.9805943518865
"Maine",2016,1331479,71.3492289401485,300.643119418331,1286.83967227422,22.5313354547837,58.205949924858,1.50208903031892,19.9777841032416
"Maryland",1966,3613000,164.904511486299,754.331580404096,1668.1428176031,15.3335178522004,430.168834763355,7.03016883476336,123.719900359812
"Maryland",1976,4144000,297.369691119691,1359.94208494208,3242.15733590734,32.0222007722008,428.861003861004,8.49420849420849,295.535714285714
"Maryland",1986,4463000,476.428411382478,1245.64194488013,2977.90723728434,43.5581447456868,545.238628725073,8.98498767645082,304.033161550527
"Maryland",1996,5072000,488.820977917981,992.330441640379,3426.99132492114,37.5591482649842,711.415615141956,11.5930599369085,393.217665615142
"Maryland",2006,5615727,391.95281394555,667.037411184696,2270.44512669508,20.9768031814937,543.527133708601,9.72269485322203,255.995350201319
"Maryland",2016,6016447,263.843427857006,410.408335683835,1677.38534055066,21.0423194952104,196.694161853333,7.99475171974423,171.014553938562
"Massachusetts",1966,5383000,60.4681404421326,619.097157718744,989.113877020249,6.39048857514397,551.848411666357,2.37785621400706,45.9595021363552
"Massachusetts",1976,5809000,198.003098640041,1662.14494749527,2446.80667929076,17.696677569289,1312.73885350318,3.33964537786194,180.168703735583
"Massachusetts",1986,5832000,330.898491083676,1070.90192043896,2189.09465020576,29.6810699588477,906.481481481482,3.56652949245542,192.712620027435
"Massachusetts",1996,6092000,482.928430728825,704.136572554169,1962.60669730794,29.005252790545,528.200919238345,2.57715036112935,127.675640183848
"Massachusetts",2006,6437193,344.529051715554,547.490187104845,1564.73481531469,27.5119916398343,279.236617575393,2.92052762749229,125.520549096477
"Massachusetts",2016,6811779,264.982172792159,281.761930326865,1161.04764996046,23.3712808357406,118.295088551757,1.96718067336007,78.7606291983342
"Michigan",1966,8374000,143.790303319799,984.033914497253,2038.71507045617,28.1585860998328,353.475041796035,4.9558156197755,155.146883209936
"Michigan",1976,9104000,266.135764499121,1668.50834797891,3550.56019332162,36.1050087873462,613.148066783831,11.1379613356766,332.644991212654
"Michigan",1986,9145000,423.925642427556,1509.45872061236,3377.73646801531,67.4357572443958,800.360852925096,11.2848551120831,301.257517769273
"Michigan",1996,9594000,394.579945799458,895.434646654159,2886.27267041901,56.9731081926204,700.46904315197,7.52553679382948,176.224723785699
"Michigan",2006,10095643,363.364671274529,755.900342355608,1972.96001849511,52.9634417540319,496.233870393396,7.14169468948139,140.941988539016
"Michigan",2016,9928300,309.509180826526,398.537513975202,1308.1393592055,51.5093218375754,203.217066365843,6.02318624537937,71.7141907476607
"Minnesota",1966,3576000,44.3512304250559,579.2225950783,1305.45302013423,7.29865771812081,246.252796420582,2.20917225950783,49.3568232662192
"Minnesota",1976,3965000,87.8940731399748,1122.14375788146,2672.83732660782,18.3102143757881,347.137452711223,2.3203026481715,80.4287515762926
"Minnesota",1986,4214000,148.291409587091,1004.24774560987,2785.26340768866,31.7513051732321,288.134788799241,2.49169435215947,102.017085904129
"Minnesota",1996,4658000,169.665092314298,762.45169600687,2977.05023615286,49.9570631172177,384.778875053671,3.58522971232289,115.60755689137
"Minnesota",2006,5167101,170.888860117114,586.518436546915,2239.03113177002,31.8360333966764,256.952592952992,2.43850468570287,105.300825356423
